Name,Team,playerid
Alejandro Kirk,TOR,22581
Omar Narvaez,MIL,13338
Kyle Tucker,HOU,18345
Tres Barrera,WSN,19977
Spencer Howard,PHI,23252
Kolten Wong,MIL,12532
Jean Segura,PHI,5933
Luis Robert,CHW,20043
Trent Grisham,SDP,18564
Giancarlo Stanton,NYY,4949
Mitch Haniger,SEA,14274
Jerad Eickhoff,NYM,12664
Emmanuel Rivera,KCR,19890
Jake Cronenworth,SDP,18036
Jared Walsh,LAA,18607
Jonathan Lucroy,- - -,7870
Andrew McCutchen,PHI,9847
Jonathan Arauz,BOS,20275
Akil Baddoo,DET,22168
Alex De Goti,HOU,19477
Eric Haase,DET,14111
John Nogowski,- - -,16852
Trey Mancini,BAL,15149
Tommy Pham,SDP,2967
Tyrone Taylor,MIL,13675
Willy Adames,- - -,15986
Tyler Stephenson,CIN,17988
Gavin Sheets,CHW,19901
Bobby Bradley,CLE,17278
Josh Rojas,ARI,19734
Bryan Holaday,ARI,11287
Max Fried,ATL,13743
Jose Alvarez,SFG,5358
Matthew Boyd,DET,15440
Aaron Civale,CLE,19479
Jake Burger,CHW,22275
J.T. Realmuto,PHI,11739
Rhys Hoskins,PHI,16472
Paul Goldschmidt,STL,9218
Gary Sanchez,NYY,11442
Santiago Espinal,TOR,19997
Mike Zunino,TBR,13265
Willson Contreras,CHC,11609
Salvador Perez,KCR,7304
Nolan Arenado,STL,9777
Corey Seager,LAD,13624
Luis Guillorme,NYM,16451
Jace Peterson,MIL,12325
Ozzie Albies,ATL,16556
Christian Arroyo,BOS,16434
Jose Abreu,CHW,15676
Jonathan Schoop,DET,11265
Anthony Rizzo,CHC,3473
Max Schrock,CIN,17750
Ty France,SEA,17982
Joey Wendle,TBR,13853
Jake Rogers,DET,19452
Mike Yastrzemski,SFG,14854
Brandon Lowe,TBR,18882
Tony Kemp,OAK,14894
Austin Meadows,TBR,15672
Alex Bregman,HOU,17678
Ryan McMahon,COL,15112
Josh Harrison,WSN,8202
Johneshwy Fargas,NYM,16446
Tim Anderson,CHW,15172
Robbie Grossman,DET,5254
Charlie Blackmon,COL,7859
Jordan Luplow,CLE,16424
Austin Allen,OAK,18083
Alcides Escobar,WSN,6310
Nick Madrigal,CHW,20521
Wilmer Flores,SFG,5827
Carlos Santana,KCR,2396
Adolis Garcia,TEX,19287
Jesus Aguilar,MIA,11342
Phil Gosselin,LAA,10953
Christian Yelich,MIL,11477
Hunter Renfroe,BOS,15464
Enrique Hernandez,BOS,10472
Aledmys Diaz,HOU,15937
Mike Moustakas,CIN,4892
Wilmer Difo,PIT,14320
Jake Lamb,CHW,13329
Nate Lowe,TEX,19566
Eduardo Escobar,ARI,6153
Colin Moran,PIT,16909
Jorge Polanco,MIN,13152
Justin Upton,LAA,5222
Jacob deGrom,NYM,10954
Brendan Rodgers,COL,17907
Luis Arraez,MIN,18568
Alex Verdugo,BOS,17027
Andrew Vaughn,CHW,26197
Ehire Adrianza,ATL,8418
Wil Myers,SDP,10047
Brian Goodwin,CHW,12858
Chas McCormick,HOU,19599
Jeimer Candelario,DET,13621
Nico Hoerner,CHC,21479
Ke'Bryan Hayes,PIT,18577
Avisail Garcia,MIL,5760
Yandy Diaz,TBR,16578
Pavin Smith,ARI,19892
Patrick Mazeika,NYM,18142
Luis Urias,MIL,16622
Javier Baez,CHC,12979
Gio Urshela,NYY,10681
Josh Bell,WSN,13145
Jazz Chisholm,MIA,20454
Taylor Ward,LAA,17548
Randy Arozarena,TBR,19290
Ramon Laureano,OAK,17128
Travis Blankenhorn,- - -,18395
Rougned Odor,NYY,12282
Ramon Urias,BAL,18795
Dylan Carlson,STL,20126
Brad Miller,PHI,12775
Yan Gomes,WSN,9627
Adam Duvall,MIA,10950
Ben Gamel,- - -,12160
Stephen Strasburg,WSN,10131
Tyler Nevin,BAL,17893
Max Kepler,MIN,12144
Miguel Rojas,MIA,7802
Jeff McNeil,NYM,15362
Ronald Torreyes,PHI,11400
Jed Lowrie,OAK,4418
Kyle Lewis,SEA,19508
Abraham Almonte,ATL,5486
Tucker Barnhart,CIN,10200
Yonathan Daza,COL,15794
Luis Torrens,SEA,15905
Rafael Ortega,CHC,10323
Jesus Sanchez,MIA,19913
Andrew Benintendi,KCR,17901
Austin Hays,BAL,19363
Yermin Mercedes,CHW,17423
Guillermo Heredia,ATL,18721
Nicky Lopez,KCR,19339
Francisco Mejia,TBR,16403
Tyler Naquin,CIN,13359
Jacob Stallings,PIT,13723
Nick Maton,PHI,21635
Ryan Mountcastle,BAL,18373
Asdrubal Cabrera,ARI,4962
Matt Beaty,LAD,17710
DJ LeMahieu,NYY,9874
Jason Castro,HOU,8722
Jonathan Villar,NYM,10071
Kyle Garlick,MIN,18063
Bradley Zimmer,CLE,16221
David Peralta,ARI,2136
Jon Jay,LAA,5227
Randal Grichuk,TOR,10243
Isaac Paredes,DET,20036
Jake Marisnick,CHC,11339
Trevor Story,COL,12564
Harold Ramirez,CLE,14387
Dansby Swanson,ATL,18314
Cesar Hernandez,CLE,10556
Zack Collins,CHW,19181
Austin Dean,STL,18288
Daniel Vogelbach,MIL,14130
Willie Calhoun,TEX,17838
Dominic Smith,NYM,15653
Jose Iglesias,LAA,10231
Joc Pederson,- - -,11899
Anthony Rendon,LAA,12861
Freddy Galvis,BAL,6609
Trevor Larnach,MIN,21501
Luke Voit,NYY,14811
Whit Merrifield,KCR,11281
Alex Dickerson,SFG,12649
Ryan LaMarre,NYY,10700
Connor Joe,COL,16572
Eric Hosmer,SDP,3516
David Fletcher,LAA,17992
Starlin Castro,WSN,4579
Francisco Lindor,NYM,12916
Corey Dickerson,MIA,10762
Matt Duffy,CHC,13836
Raimel Tapia,COL,14350
Luke Williams,PHI,19931
Sean Murphy,OAK,19352
Ryan Lavarnway,CLE,8879
Curt Casali,SFG,12510
J.P. Crawford,SEA,15491
Alex Kirilloff,MIN,20325
Ryan Zimmerman,WSN,4220
Derek Fisher,MIL,16192
Austin Barnes,LAD,12158
James McCann,NYM,12859
Brian Anderson,MIA,18289
Zack Short,DET,19562
Kevin Plawecki,BOS,13807
Kyle Seager,SEA,9785
Derek Hill,DET,16947
Austin Nola,SDP,15941
Kyle Higashioka,NYY,5517
Michael Conforto,NYM,16376
Kyle Farmer,CIN,14813
Mitch Moreland,OAK,3086
Miguel Sano,MIN,12164
Josh Naylor,CLE,18839
Seth Brown,OAK,18171
Lourdes Gurriel Jr.,TOR,19238
Paul DeJong,STL,18015
Gleyber Torres,NYY,16997
DJ Peters,LAD,19348
Lorenzo Cain,MIL,9077
Manuel Margot,TBR,14712
Matt Chapman,OAK,16505
Tomas Nido,NYM,13755
Brett Phillips,TBR,14735
Reese McGuire,TOR,15674
Cavan Biggio,TOR,19252
Gerardo Parra,WSN,8553
Billy McKinney,- - -,15654
Pablo Sandoval,ATL,5409
Garrett Hampson,COL,19262
Stephen Vogt,- - -,5000
Myles Straw,HOU,17620
Jordy Mercer,WSN,6547
Austin Slater,SFG,16153
Donovan Solano,SFG,8623
Leury Garcia,CHW,5913
Eddie Rosario,CLE,12155
Amed Rosario,CLE,15518
Brian O'Grady,SDP,16729
Yadier Molina,STL,7007
Rowdy Tellez,- - -,15679
Tom Murphy,SEA,13499
Albert Pujols,- - -,1177
Daulton Varsho,ARI,19918
Tommy Edman,STL,19470
Hanser Alberto,KCR,11902
D.J. Stewart,BAL,17766
Jurickson Profar,SDP,10815
Abraham Toro,HOU,19844
Lewis Brinson,MIA,14352
Alex Avila,WSN,7476
Ross Detwiler,MIA,2859
Kohl Stewart,CHC,15502
Taylor Clarke,ARI,17611
JT Riddle,MIN,17642
Dane Dunning,TEX,19409
Patrick Sandoval,LAA,19447
Joey Bart,SFG,21524
Elias Diaz,COL,11680
Harold Castro,DET,14691
Webster Rivas,SDP,14636
Jorge Soler,KCR,14221
Phillip Evans,PIT,12950
Zach McKinstry,LAD,19392
Brandon Marsh,LAA,20202
Edmundo Sosa,STL,17022
Oscar Mercado,CLE,16375
Gregory Polanco,PIT,12907
Michael A. Taylor,KCR,11489
Clint Frazier,NYY,15983
Taylor Walls,TBR,22458
Gavin Lux,LAD,19955
Miguel Andujar,NYY,15878
Keibert Ruiz,LAD,19610
Daz Cameron,DET,18353
Odubel Herrera,PHI,11476
Rafael Marchan,PHI,21646
Yadiel Hernandez,WSN,19334
Anthony Santander,BAL,14551
Jose Rojas,LAA,19331
Josh Reddick,ARI,3892
William Contreras,ATL,20503
Jose Peraza,NYM,13593
Nick Senzel,CIN,19293
Ryan O'Hearn,KCR,16442
Nick Gordon,MIN,16337
Jason Vosler,SFG,16686
Nick Solak,TEX,19294
Tommy La Stella,SFG,12371
Pedro Severino,BAL,14523
Matt Carpenter,STL,8090
David Bote,CHC,14593
Marcell Ozuna,ATL,10324
Josh Palacios,TOR,19818
Christian Vazquez,BOS,9774
Brett Gardner,NYY,9927
Victor Caratini,SDP,14968
Alec Bohm,PHI,21618
Ryan Jeffers,MIN,24618
Didi Gregorius,PHI,6012
Charlie Culberson,TEX,3298
Jon Berti,MIA,12037
Rene Rivera,- - -,3648
Niko Goodrum,DET,12092
Kevin Pillar,NYM,12434
Isiah Kiner-Falefa,TEX,16512
Dylan Moore,SEA,18042
Bobby Dalbec,BOS,19966
Victor Robles,WSN,18363
Luis Garcia,WSN,20391
Josh VanMeter,ARI,15170
Aaron Hicks,NYY,5297
Roberto Perez,CLE,2900
Adam Eaton,- - -,11205
Jack Mayfield,- - -,15402
Kurt Suzuki,LAA,8259
Miguel Cabrera,DET,1744
Hunter Dozier,KCR,15117
Alejo Lopez,CIN,21127
Kyle Isbel,KCR,21614
Eric Campbell,SEA,6938
Maikel Franco,BAL,12179
Willians Astudillo,MIN,15608
John Andreoli,SDP,13012
Christian Walker,ARI,13419
Jose Devers,MIA,20540
Willi Castro,DET,17338
Roman Quinn,PHI,13546
Dom Nunez,COL,15055
Wander Franco,TBR,23667
Brandon Drury,NYM,11615
Jason Heyward,CHC,4940
Chadwick Tromp,SFG,16953
Alan Trejo,COL,20056
Renato Nunez,DET,14503
Ian Happ,CHC,17919
Mauricio Dubon,SFG,16530
Travis Shaw,MIL,11982
Kevin Kiermaier,TBR,11038
Connor Wong,BOS,19896
Chad Pinder,OAK,15191
Ryan McBroom,KCR,16524
Luke Maile,MIL,13355
Jarrod Dyson,KCR,4866
Andy Ibanez,TEX,18819
Billy Hamilton,CHW,10199
Alex Blandino,CIN,16271
Mason Williams,NYM,11859
Taylor Trammell,SEA,19960
Sergio Alcantara,CHC,16417
Jonah Heim,TEX,16930
Jack Flaherty,STL,17479
Andrew Stevenson,WSN,17932
Nick Ahmed,ARI,12147
Wilson Ramos,DET,1433
Eugenio Suarez,CIN,12552
Danny Mendick,CHW,18889
Ha-seong Kim,SDP,27506
Stephen Piscotty,OAK,13367
Donovan Walton,SEA,19314
Shed Long Jr.,SEA,16542
Steven Souza Jr.,LAD,5667
Daniel Robertson,MIL,14145
Joshua Fuentes,COL,16885
Jacob Nottingham,- - -,16448
Nomar Mazara,DET,14553
Danny Jansen,TOR,16535
Marwin Gonzalez,BOS,5497
Eli White,TEX,19346
Carter Kieboom,WSN,19958
Ender Inciarte,ATL,4922
Andrew Knizner,STL,19514
Ronnie Dawson,HOU,19710
Edward Olivares,KCR,19698
Khris Davis,TEX,9112
Andrelton Simmons,MIN,10847
Martin Maldonado,HOU,6887
Mike Brosseau,TBR,19683
Michael Perez,PIT,12977
Brock Holt,TEX,9345
Eric Sogard,CHC,7927
Juan Lagares,LAA,5384
Mike Tauchman,- - -,15274
Travis d'Arnaud,ATL,7739
Kole Calhoun,ARI,11200
David Dahl,TEX,13744
Matt Peacock,ARI,20339
Elvis Andrus,OAK,8709
Mike Ford,NYY,15585
Manny Pina,MIL,2829
Seby Zavala,CHW,18887
Keston Hiura,MIL,20003
Jake Bauers,- - -,15194
Will Craig,PIT,19267
Cody Bellinger,LAD,15998
Jorge Alfaro,MIA,12180
Daniel Johnson Jr.,CLE,19643
Jose Marmolejos,SEA,15767
Ernie Clement,CLE,20352
Garrett Richards,BOS,9784
Jackie Bradley Jr.,MIL,12984
Ryan McKenna,BAL,19928
Jorge Mateo,SDP,17273
Rio Ruiz,BAL,14103
Pat Valaika,BAL,14885
Brent Rooker,MIN,19627
Joe Panik,- - -,11936
Aramis Garcia,OAK,16925
Erik Gonzalez,PIT,13369
Jose Rondon,STL,14140
Magneuris Sierra,MIA,17023
Orlando Arcia,- - -,13185
Dexter Fowler,LAA,4062
Danny Santana,BOS,10322
Jon Duplantier,ARI,19546
Sam Haggerty,SEA,18054
Madison Bumgarner,ARI,5524
Isan Diaz,MIA,17922
Eric Lauer,MIL,19316
Ka'ai Tom,- - -,18136
Franchy Cordero,BOS,14567
Kelvin Gutierrez,- - -,17468
Tim Locastro,- - -,15124
Lewin Diaz,MIA,18365
Joe Ross,WSN,12972
Jonathan Davis,TOR,15104
Kevin Newman,PIT,17696
Jose Trevino,TEX,16725
Tony Gonsolin,LAD,19388
Victor Reyes,DET,15487
Cal Raleigh,SEA,21534
Andres Gimenez,CLE,19950
Ryan Weathers,SDP,23796
Wade Miley,CIN,8779
Tucupita Marcano,SDP,22871
Jake Cave,MIN,14477
Nathan Eovaldi,BOS,9132
Josh Tomlin,ATL,9388
Corey Ray,MIL,19170
Sam Hilliard,COL,17954
Justin Williams,STL,15490
Jarren Duran,BOS,24617
Shogo Akiyama,CIN,27461
Pablo Reyes,MIL,16357
Michael Chavis,BOS,17321
Scott Heineman,CIN,14453
Kevan Smith,- - -,12284
Tyler Wade,NYY,15730
Luis Marte,MIA,14515
Chad Wallach,MIA,17161
Austin Wynns,BAL,15271
Sebastian Rivero,KCR,21735
Julio Urias,LAD,14765
Trevor Williams,CHC,16977
Matt Joyce,PHI,3353
Clayton Kershaw,LAD,2036
Craig Stammen,SDP,7274
Dylan Bundy,LAA,12917
Jose De Leon,CIN,15463
Lucas Giolito,CHW,15474
Braden Bishop,SEA,17806
Keegan Thompson,CHC,19795
Corbin Martin,ARI,19884
Braxton Garrett,MIA,21844
Grayson Greiner,DET,17062
Mike Freeman,CIN,11241
Wyatt Mathisen,ARI,14555
Yu-Cheng Chang,CLE,14773
Jay Bruce,NYY,9892
Chris Gittens,NYY,18482
Yoshi Tsutsugo,- - -,27459
Sheldon Neuse,LAD,19635
Anthony Bemboom,LAA,13854
Luke Raley,LAD,19354
Monte Harrison,MIA,17216
Robel Garcia,HOU,13167
Jason Martin,TEX,16429
Tony Wolters,CHC,11470
Lars Nootbaar,STL,21454
Andrew Knapp,PHI,14942
Gilberto Celestino,MIN,20233
Aaron Nola,PHI,16149
Frank Schwindel,OAK,15351
Chance Sisco,BAL,15694
Jared Oliva,PIT,19968
Sandy Leon,MIA,5273
Wilfredo Tovar,NYM,10416
Mark Payton,CIN,16042
Taylor Jones,HOU,19533
JaCoby Jones,DET,14818
Dustin Fowler,PIT,17098
Kean Wong,LAA,15994
German Marquez,COL,15038
Domingo Leyba,- - -,16404
Garrett Stubbs,HOU,18067
Cam Gallagher,KCR,12981
Matt Adams,COL,9393
Jon Lester,WSN,4930
Evan White,SEA,20078
Kyle Muller,ATL,20167
Austin Hedges,CLE,12976
Zac Gallen,ARI,19291
Luis Rengifo,LAA,19858
Ben Rortvedt,MIN,20287
Jose Godoy,SEA,15808
Lane Thomas,STL,16939
Corbin Burnes,MIL,19361
Stevie Wilkerson,BAL,16041
Geraldo Perdomo,ARI,22799
Kevin Padlo,TBR,16593
Adam Haseley,PHI,19878
Mickey Moniak,PHI,19956
Jake Arrieta,CHC,4153
Johan Oviedo,STL,22487
Edwin Rios,LAD,18316
Luis Castillo,CIN,15689
Chi Chi Gonzalez,COL,14663
Kevin Gausman,SFG,14107
Anthony Alford,PIT,14329
Nick Heath,ARI,19577
Tony Santillan,CIN,19926
Troy Stokes Jr.,PIT,17478
Cole Irvin,OAK,19244
Luis Barrera,OAK,19615
Ildemaro Vargas,- - -,13324
Luke Weaver,ARI,16918
Tim Lopes,MIL,14137
Seth Frankoff,ARI,11346
Tejay Antone,CIN,16233
Touki Toussaint,ATL,16929
Jarred Kelenic,SEA,22558
Cole Tucker,PIT,17326
Nick Williams,CHW,14330
JT Brubaker,PIT,17578
Todd Frazier,PIT,785
Scott Schebler,LAA,12225
Blake Snell,SDP,13543
Ronald Guzman,TEX,14388
Cristian Pache,ATL,19948
Adrian Houser,MIL,12718
Riley Adams,TOR,19864
Walker Buehler,LAD,19374
Marcus Stroman,NYM,13431
Zach Davies,CHC,13183
Kyle Freeland,COL,16256
Nick Martini,CHC,12005
Zack Wheeler,PHI,10310
Kwang-hyun Kim,STL,27458
Rich Hill,- - -,4806
Hunter Owen,PIT,20034
Merrill Kelly,ARI,11156
Luis Campusano,SDP,22217
Rob Brantly,NYY,10655
Austin Romine,CHC,5491
Jaylin Davis,SFG,19552
Alex Jackson,ATL,17276
Owen Miller,CLE,24655
Jeff Hoffman,CIN,17432
Mitch Keller,PIT,17594
Yu Darvish,SDP,13074
Cameron Maybin,NYM,5223
Sandy Alcantara,MIA,18684
Stuart Fairchild,ARI,20321
Leody Taveras,TEX,18900
Tyler Anderson,PIT,12880
Jacob Wilson,OAK,13254
Zach Thompson,MIA,16094
Skye Bolt,- - -,17723
Bryse Wilson,ATL,19990
Johnny Cueto,SFG,6893
Vince Velasquez,PHI,11189
David Peterson,NYM,20302
Brett Anderson,MIL,8223
Robert Gsellman,NYM,13696
Dinelson Lamet,SDP,17186
Jon Gray,COL,14916
Patrick Corbin,WSN,9323
David Price,LAD,3184
Jake Hager,NYM,12198
Hernan Perez,WSN,5751
Jose Lobaton,CHC,4243
Brandon Woodruff,MIL,16162
Joe Musgrove,SDP,12970
Tyler Mahle,CIN,16358
Chase De Jong,PIT,15036
Kyle Hendricks,CHC,12049
Charlie Morton,ATL,4676
Albert Almora Jr.,NYM,14109
Vimael Machin,OAK,17684
Trevor Cahill,PIT,6249
Dillon Thomas,SEA,12719
Jake Woodford,STL,18674
Tylor Megill,NYM,21318
Anderson Tejeda,TEX,19909
Drew Butera,LAA,3411
Drew Smyly,ATL,11760
Austin Gomber,COL,16561
P.J. Higgins,CHC,18433
Carlos Martinez,STL,11682
Cody Poteet,MIA,18769
Jordan Holloway,MIA,20631
Alex Wood,SFG,13781
Nick Neidert,MIA,18699
Alec Mills,CHC,13834
Logan Webb,SFG,17995
Wil Crowe,PIT,19800
Ian Anderson,ATL,19951
Sonny Gray,CIN,12768
Caleb Smith,ARI,14875
Johan Camargo,ATL,14950
Pablo Lopez,MIA,17085
Chad Kuhl,PIT,14975
Paolo Espino,WSN,8246
Trevor Rogers,MIA,22286
Khalil Lee,NYM,19952
Taylor Widener,ARI,19266
Vidal Brujan,TBR,20536
Anthony DeSclafani,SFG,13050
Joey Lucchesi,NYM,19320
Adbert Alzolay,CHC,17859
Curtis Terry,TEX,18881
Max Moroff,STL,14556
Taijuan Walker,NYM,11836
Trevor Bauer,LAD,12703
Freddy Peralta,MIL,18679
Vladimir Gutierrez,CIN,19278
Scott Kingery,PHI,17975
Adam Wainwright,STL,2233
Zach Eflin,PHI,13774
Erick Fedde,WSN,17425
Antonio Senzatela,COL,15488
Chris Paddack,SDP,20099
Neftali Feliz,PHI,18
Matt Bush,TEX,1246
Adam Ottavino,BOS,1247
Oliver Perez,CLE,1514
Sean Doolittle,CIN,1581
Matt Moore,PHI,1890
Zack Greinke,HOU,1943
Corey Kluber,NYY,2429
Jhoulys Chacin,COL,2608
Luis Avilan,WSN,2882
Kenley Jansen,LAD,3096
Tony Watson,LAA,3132
Max Scherzer,WSN,3137
Will Harris,WSN,3192
Ervin Santana,KCR,3200
T.J. McFarland,STL,3237
Zack Britton,NYY,3240
Joe Smith,HOU,3281
Darren O'Day,NYY,3321
Jeff Mathis,ATL,3448
Danny Duffy,KCR,3542
Liam Hendriks,CHW,3548
Yusmeiro Petit,OAK,4020
Hector Santiago,SEA,4026
Pedro Strop,CHC,4070
Derek Holland,DET,4141
Rafael Dolis,TOR,4185
Mark Melancon,SDP,4264
Justin Wilson,NYY,4301
Tyler Chatwood,TOR,4338
Jordan Zimmermann,MIL,4505
Nate Jones,- - -,4696
Matt Shoemaker,MIN,4776
Scott Kazmir,SFG,4897
Jake Diekman,OAK,5003
Jeurys Familia,NYM,5114
Wade LeBlanc,- - -,5221
Blake Parker,CLE,5224
Michael Pineda,MIN,5372
Jesse Chavez,ATL,5448
Tyler Clippard,ARI,5640
Junior Guerra,LAA,5702
Dellin Betances,NYM,6216
David Phelps,TOR,6316
Chris Archer,TBR,6345
Jake Odorizzi,HOU,6397
Trevor May,NYM,6398
Jose Cisnero,DET,6399
Steve Cishek,LAA,6483
Alex Cobb,LAA,6562
Robert Stock,- - -,6576
Brad Brach,CIN,6627
Craig Kimbrel,CHC,6655
Alex Colome,MIN,6661
Andrew Miller,STL,6785
Julio Teheran,DET,6797
Chase Anderson,PHI,6895
Martin Perez,BOS,6902
Joakim Soria,ARI,6941
Luis Garcia,STL,6984
Ian Kennedy,TEX,6986
Ryan Pressly,HOU,7005
Daniel Bard,COL,7115
Daniel Hudson,WSN,7146
Greg Holland,KCR,7196
Sean Kazmar,ATL,7349
J.A. Happ,MIN,7410
Jay Jackson,SFG,7432
Wade Davis,KCR,7441
Anthony Swarzak,- - -,7466
Collin McHugh,TBR,7531
Jake McGee,SFG,7550
Jordan Lyles,TEX,7593
Tommy Milone,TOR,7608
Wily Peralta,DET,7738
Mike Fiers,OAK,7754
Richard Bleier,MIA,7803
Hunter Strickland,- - -,7836
Josh Lindblom,MIL,7882
Anthony Bass,MIA,7982
Will Smith,ATL,8048
Bryan Shaw,CLE,8110
Lucas Luetge,NYY,8337
Deolis Guerra,OAK,8410
Justin Miller,- - -,8580
Tanner Roark,TOR,8753
Cesar Valdez,BAL,9013
Brad Hand,WSN,9111
Kyle Lobstein,WSN,9178
Zac Rosscup,COL,9419
Dallas Keuchel,CHW,9434
Ryan Buchter,ARI,9456
David Hale,PHI,9756
Joe Kelly,LAD,9761
Rex Brothers,CHC,9794
Miles Mikolas,STL,9803
Sergio Romo,OAK,9817
Chaz Roe,TBR,9866
Brandon Kintzler,PHI,9939
Mike Minor,KCR,10021
Tyler Matzek,ATL,10058
Brooks Raley,HOU,10061
Ian Krol,DET,10066
Caleb Thielbar,MIN,10078
Kyle Gibson,TEX,10123
Brad Boxberger,MIL,10133
Ryan Weber,- - -,10160
Shelby Miller,CHC,10197
Aaron Northcraft,SDP,10218
Aroldis Chapman,NYY,10233
Ryan Tepera,CHC,10291
Erasmo Ramirez,DET,10314
Juan Minaya,MIN,10341
Aaron Loup,NYM,10343
Mychal Givens,COL,10430
Jimmy Nelson,LAD,10547
Scott Alexander,LAD,10591
Andrew Bellatti,MIA,10657
Shane Greene,ATL,10756
Mike Foltynewicz,TEX,10811
R.J. Alaniz,CIN,10819
Asher Wojciechowski,NYY,10836
Adam Kolarek,OAK,10843
Chasen Shreve,PIT,10855
Jared Hoying,TOR,10882
Ben Rowen,LAA,10983
Mickey Jannis,BAL,11071
Grant Dayton,ATL,11203
Casey Sadler,SEA,11209
Jose Quintana,LAA,11423
Drew Pomeranz,SDP,11426
Brandon Workman,- - -,11428
Jesse Biddle,ATL,11437
A.J. Cole,TOR,11467
Robbie Ray,TOR,11486
Joely Rodriguez,TEX,11487
Aaron Sanchez,SFG,11490
Josh Osich,CIN,11528
Jose Urena,DET,11589
Mike Kickham,LAD,11618
Heath Hembree,CIN,11632
Jameson Taillon,NYY,11674
Matt Harvey,BAL,11713
Luke Jackson,ATL,11752
Kyle Ryan,CHC,11753
Hansel Robles,MIN,11801
Hector Neris,PHI,11804
James Paxton,SEA,11828
Chris Martin,ATL,11847
Jason Adam,CHC,11861
Michael Feliz,- - -,11903
Matt Andriese,BOS,12022
Yimi Garcia,MIA,12095
Domingo Tapia,- - -,12178
Dan Winkler,CHC,12237
Ryan Sherriff,TBR,12249
Evan Marshall,CHW,12297
Chris Bassitt,OAK,12304
Jacob Barnes,- - -,12323
Spencer Patton,TEX,12361
Nick Tropeano,- - -,12385
Seth Lugo,NYM,12447
Blake Treinen,LAD,12572
